arabic_term,english_translation,category
لنا,us,"General Nouns"
مرة أخرى,again,"General Nouns"
حيوان,animal,Daily Life
نقطة,point,"General Nouns"
أم,mother,Daily Life
عالم,world,"General Nouns"
قرب,near,"General Nouns"
بناء,build,Verbs
النفس,self,"General Nouns"
أب,father,Daily Life
أي,any,"General Nouns"
جديد,new,Adjectives
عمل,work,Verbs
جزء,part,"General Nouns"
أخذ,take,Verbs
حصل,get,Verbs
مكان,place,"General Nouns"
صنع,made,Verbs
عاش,live,Verbs
حيث,where,"General Nouns"
بعد,after,"General Nouns"
ظهر,back,"General Nouns"
قليل,little,"General Nouns"
فقط,only,"General Nouns"
جولة,round,"General Nouns"
رجل,man,"General Nouns"
سنة,year,Daily Life
جاء,came,Verbs
عرض,show,Verbs
جيد,good,Adjectives
أنا,me,"General Nouns"
إعطاء,give,Verbs
لدينا,our,"General Nouns"
تحت,under,"General Nouns"
اسم,name,"General Nouns"
جدا,very,"General Nouns"
من خلال,through,"General Nouns"
شكل,form,"General Nouns"
جملة,sentence,"General Nouns"
عظيم,great,Adjectives
تفكير,think,Verbs
قول,say,Verbs
مساعدة,help,Verbs
منخفض,low,Adjectives
خط,line,"General Nouns"
تختلف,differ,"General Nouns"
عطف,turn,"General Nouns"
سبب,cause,"General Nouns"
كثير,much,"General Nouns"
عنى,mean,Verbs
قبل,before,"General Nouns"
حرك,move,Verbs
حق,right,"General Nouns"
صبي,boy,"General Nouns"
قديم,old,Adjectives
أيضا,too,"General Nouns"
نفسه,same,"General Nouns"
كل,all/every,"General Nouns"
هناك,there,"General Nouns"
عند عندما,when,"General Nouns"
إلى أعلى,up,"General Nouns"
استخدام,use,"General Nouns"
طريقة,way,"General Nouns"
حول,about,"General Nouns"
كثير,many,"General Nouns"
ثم,then,"General Nouns"
هم,them,"General Nouns"
إرسال,write,Verbs
سوف,would,Verbs
مثل,like,"General Nouns"
هكذا,so,"General Nouns"
هؤلاء,these,General Nouns
لها,her,"General Nouns"
طويل,long,Adjectives
جعل,make,Verbs
شيء,thing,"General Nouns"
نظرة,look,"General Nouns"
هيم,him,"General Nouns"
اثنين,two,Numbers
لديه,has,"General Nouns"
أكثر,more,"General Nouns"
يوم,day,Daily Life
قد,could,Verbs
اذهب,go,Verbs
فعل,did,Verbs
عدد,number,"General Nouns"
صوت,sound,"General Nouns"
لا,no,"General Nouns"
معظم,most,"General Nouns"
الناس,people,"General Nouns"
بلدي,my,"General Nouns"
أكثر من,over,"General Nouns"
أعرف,know,Verbs
ماء,water,Daily Life
من,than,"General Nouns"
نداء,call,Verbs
أول,first,Numbers
الذي,who,"General Nouns"
ربما,may,"General Nouns"
أسفل,down,"General Nouns"
جانب,side,"General Nouns"
كان,been,Verbs
نطاق,now,"General Nouns"
البحث,find,Verbs
رئيس,head,"General Nouns"
وقوف,stand,Verbs
تملك,own,"General Nouns"
صفحة,page,"General Nouns"
ينبغي,should,"General Nouns"
بلد,country,"General Nouns"
وجدت,found,Verbs
جواب,answer,"General Nouns"
مدرسة,school,Daily Life
نمو,grow,Verbs
دراسة,study,Verbs
لا يزال,still,"General Nouns"
تعلم,learn,Verbs
مصنع,plant,"General Nouns"
غطاء,cover,"General Nouns"
طعام,food,Daily Life
شمس,sun,Daily Life
أربعة,four,Numbers
بين,between,"General Nouns"
دولة,state,"General Nouns"
حافظ,keep,Verbs
عين,eye,Daily Life
أبدا,never,"General Nouns"
آخر,last,"General Nouns"
دعونا,let,Verbs
فكر,thought,"General Nouns"
مدينة,city,Daily Life
شجرة,tree,"General Nouns"
عبور,cross,"General Nouns"
مزرعة,farm,"General Nouns"
صعب,hard,Adjectives
بداية,start,"General Nouns"
قد,might,"General Nouns"
قصة,story,"General Nouns"
منشار,saw,"General Nouns"
بعيد,far,"General Nouns"
بحر,sea,Daily Life
رسم,draw,"General Nouns"
يسار,left,"General Nouns"
أواخر,late,Adjectives
ركض,run,Verbs
دون,don't,"General Nouns"
بينما,while,"General Nouns"
صحافة,press,"General Nouns"
وثيق,close,"General Nouns"
ليل,night,Daily Life
حقيقي,real,"General Nouns"
حياة,life,"General Nouns"
قليل,few,"General Nouns"
شمال,north,"General Nouns"
كتاب,book,Daily Life
حمل,carry,Verbs
أخذت,took,Verbs
علم,science,"General Nouns"
أكل,eat,Verbs
غرفة,room,Daily Life
صديق,friend,Daily Life
بدأ,began,Verbs
فكرة,idea,"General Nouns"
سمك,fish,"General Nouns"
جبل,mountain,Daily Life
توقف,stop,Verbs
مرة واحدة,once,"General Nouns"
قاعدة,base,"General Nouns"
سمع,hear,Verbs
حصان,horse,"General Nouns"
قطع,cut,Verbs
على مقربة,sure,"General Nouns"
ساعة,watch,Daily Life
اللون,color,"General Nouns"
وجه,face,Daily Life
خشب,wood,"General Nouns"
رئيسي,main,"General Nouns"
مفتوح,open,Verbs
يبدو,seem,Verbs
معا,together,"General Nouns"
القادم,next,"General Nouns"
أبيض,white,Adjectives
أطفال,children,"General Nouns"
بداية,begin,Verbs
حصلت,got,Verbs
سار,walk,Verbs
مثال,example,"General Nouns"
سهولة,ease,"General Nouns"
ورقة,paper,Daily Life
مجموعة,group,"General Nouns"
دائما,always,"General Nouns"
موسيقى,music,"General Nouns"
تلك,those,"General Nouns"
الذي,he who,General Nouns
التي,she who,General Nouns
الذين,those who,General Nouns
كلا,both,"General Nouns"
مارك,mark,"General Nouns"
غالبا,often,"General Nouns"
رسالة,letter,"General Nouns"
حتى,until,"General Nouns"
ميل,mile,"General Nouns"
نهر,river,Daily Life
سيارة,car,Daily Life
قدم,feet,Daily Life
رعاية,care,"General Nouns"
ثان,second,Numbers
كاف,enough,"General Nouns"
سهل,plain,"General Nouns"
فتاة,girl,"General Nouns"
معتاد,usual,"General Nouns"
شاب,young,Adjectives
جاهز,ready,Adjectives
فوق,above,"General Nouns"
أبدا,ever,"General Nouns"
أحمر,red,Adjectives
قائمة,list,"General Nouns"
على الرغم من,though,"General Nouns"
يشعر,feel,Verbs
محادثة,talk,"General Nouns"
طائر,bird,Daily Life
قريبا,soon,"General Nouns"
الجسم,body,Daily Life
كلب,dog,Daily Life
عائلة,family,Daily Life
مباشر,direct,"General Nouns"
تشكل,pose,"General Nouns"
ترك,leave,Verbs
أغنية,song,"General Nouns"
قياس,measure,"General Nouns"
باب,door,Daily Life
المنتج,product,"General Nouns"
أسود,black,Adjectives
قصير,short,Adjectives
عدد,numeral,"General Nouns"
فئة,class,"General Nouns"
ريح,wind,"General Nouns"
سؤال,question,"General Nouns"
حدث,happen,"General Nouns"
كامل,complete,"General Nouns"
سفينة,ship,"General Nouns"
منطقة,area,"General Nouns"
نصف,half,"General Nouns"
صخرة,rock,"General Nouns"
نظام,order,"General Nouns"
نار,fire,Daily Life
جنوب,south,"General Nouns"
مشكلة,problem,"General Nouns"
قطعة,piece,"General Nouns"
عرف,knew,Verbs
تمرير,pass,Verbs
منذ,since,"General Nouns"
أعلى,top,"General Nouns"
كافة,whole,"General Nouns"
ملك,king,"General Nouns"
شارع,street,Daily Life
بوصة,inch,"General Nouns"
مضاعفة,multiply,"General Nouns"
لا شيء,nothing,"General Nouns"
طبعاً,course,"General Nouns"
إقامة,stay,Verbs
عجلة,wheel,"General Nouns"
كامل,full,Adjectives
قوة,force,"General Nouns"
أزرق,blue,Adjectives
كائن,object,"General Nouns"
قرر,decide,Verbs
سطح,surface,"General Nouns"
عميق,deep,"General Nouns"
القمر,moon,Daily Life
جزيرة,island,"General Nouns"
قدم,foot,Daily Life
نظام,system,"General Nouns"
مشغول,busy,"General Nouns"
اختبار,test,Verbs
سجل,record,Verbs
قارب,boat,Daily Life
مشترك,common,Adjectives
ذهب,gold,Daily Life
ممكن,possible,Adjectives
طائرة,plane,Daily Life
عوضا,stead,"General Nouns"
جاف,dry,Adjectives
عجب,wonder,Verbs
ضحك,laugh,Verbs
ألف,thousand,Numbers
منذ فترة طويلة,ago,"General Nouns"
تحقق,check,Verbs
لعبة,game,Daily Life
شكل,shape,"General Nouns"
تساوي,equate,Verbs
غاب,miss,Verbs
جلب,brought,Verbs
حرارة,heat,Daily Life
ثلج,snow,Daily Life
إطار,tire,Daily Life
جلب,bring,Verbs
نعم,yes,"General Nouns"
بعيد,distant,Adjectives
ملء,fill,Verbs
شرق,east,"General Nouns"
طلاء,paint,Verbs
لغة,language,"General Nouns"
بين,among,"General Nouns"
وحدة,unit,"General Nouns"
طاقة,power,"General Nouns"
مدينة,town,Daily Life
دقيق,fine,Adjectives
معين,certain,Adjectives
طيران,fly,Verbs
سقوط,fall,Verbs
رصاص,lead,Verbs
صرخة,cry,Verbs
مظلم,dark,Adjectives
آلة,machine,Daily Life
ملاحظة,note,"General Nouns"
انتظر,wait,Verbs
خطة,plan,Verbs
رقم,figure,"General Nouns"
نجم,star,Daily Life
صندوق,box,Daily Life
اسم,noun,"General Nouns"
ميدان,field,"General Nouns"
راحة,rest,Verbs
صحيح,correct,Adjectives
قادر,able,Adjectives
رطل,pound,"General Nouns"
فعلت,done,Verbs
جمال,beauty,Adjectives
دفع,drive,Verbs
وقف,stood,Verbs
احتوى,contain,Verbs
جبهة,front,Adjectives
علم,teach,Verbs
أسبوع,week,Daily Life
نهائي,final,Adjectives
أعطى,gave,Verbs
أخضر,green,Adjectives
يا,oh,"General Nouns"
سريع,quick,Adjectives
تطوير,develop,Verbs
محيط,ocean,Daily Life
دافئ,warm,Adjectives
حر,free,Adjectives
دقيقة,minute,Daily Life
قوي,strong,Adjectives
خاص,special,Adjectives
عقل,mind,"General Nouns"
خلف,behind,"General Nouns"
واضح,clear,Adjectives
ذيل,tail,Daily Life
إنتاج,produce,Verbs
حقيقة,fact,"General Nouns"
مساحة,space,"General Nouns"
سمع,heard,Verbs
أفضل,best,Adjectives
ساعة,hour,Daily Life
أفضل,better,Adjectives
حقيقي,true,Adjectives
خلال,during,"General Nouns"
مبكر,early,Adjectives
مئة,hundred,Numbers
خمسة,five,Numbers
تذكر,remember,Verbs
خطوة,step,Verbs
عقد,hold,Verbs
غرب,west,"General Nouns"
أرض,ground,Daily Life
مصلحة,interest,"General Nouns"
وصول,reach,Verbs
سريع,fast,Adjectives
فعل,verb,"General Nouns"
غنى,sing,Verbs
استماع,listen,Verbs
ستة,six,Numbers
جدول,table,Daily Life
سفر,travel,Verbs
أقل,less,Adjectives
صباح,morning,Daily Life
عشرة,ten,Numbers
بسيط,simple,Adjectives
عدة,several,Adjectives
حرف علة,vowel,"General Nouns"
نحو,toward,"General Nouns"
حرب,war,"General Nouns"
لاي,lay,Verbs
ضد,against,"General Nouns"
نمط,pattern,"General Nouns"
بطيء,slow,Adjectives
مركز,center,"General Nouns"
حب,love,Verbs
شخص,person,"General Nouns"
مال,money,Daily Life
خدم,serve,Verbs
ظهر,appear,Verbs
طريق,road,Daily Life
خريطة,map,Daily Life
مطر,rain,Daily Life
قاعدة,rule,Verbs
حكم,govern,Verbs
سحب,pull,Verbs
بارد,cold,Adjectives
إشعار,notice,Verbs
صوت,voice,Daily Life
عظيم,grand,Adjectives
كرة,ball,Daily Life
بعد,yet,"General Nouns"
موجة,wave,Daily Life
إسقاط,drop,Verbs
قلب,heart,Quranic
صيغة الفعل,am,Verbs
حاضر,present,Adjectives
ثقيل,heavy,Adjectives
رقص,dance,Verbs
محرك,engine,Daily Life
موقف,position,"General Nouns"
ذراع,arm,Daily Life
واسع,wide,Adjectives
إبحار,sail,Verbs
مادة,material,"General Nouns"
حجم,size,"General Nouns"
تفاوت,vary,Verbs
تسوية,settle,Verbs
تحدث,speak,Verbs
وزن,weight,"General Nouns"
عام,general,Adjectives
جليد,ice,Daily Life
مسألة,matter,"General Nouns"
دائرة,circle,"General Nouns"
زوج,pair,"General Nouns"
شمل,include,Verbs
تقسيم,divide,Verbs
مقطع لفظي,syllable,"General Nouns"
شعر,felt,Verbs
ربما,perhaps,"General Nouns"
انتقاء,pick,Verbs
مفاجئ,sudden,Adjectives
عد,count,Verbs
مربع,square,Adjectives
سبب,reason,"General Nouns"
طول,length,"General Nouns"
تمثيل,represent,Verbs
فن,art,"General Nouns"
موضوع,subject,"General Nouns"
منطقة,region,"General Nouns"
طاقة,energy,"General Nouns"
صيد,hunt,Verbs
محتمل,probable,Adjectives
سرير,bed,Daily Life
شقيق,brother,Daily Life
بيض,egg,Daily Life
ركوب,ride,Verbs
خلية,cell,"General Nouns"
اعتقد,believe,Verbs
كسر,fraction,Numbers
غابة,forest,Daily Life
جلس,sit,Verbs
سباق,race,Verbs
نافذة,window,Daily Life
متجر,store,Daily Life
صيف,summer,Daily Life
قطار,train,Daily Life
نوم,sleep,Verbs
أثبت,prove,Verbs
وحيد,lone,Adjectives
ساق,leg,Daily Life
تمرين,exercise,Verbs
جدار,wall,Daily Life
جبل,mount,Verbs
أمنية,wish,Verbs
سماء,sky,Daily Life
مجلس,board,"General Nouns"
فرح,joy,"General Nouns"
شتاء,winter,Daily Life
جلس,sat,Verbs
مكتوب,written,Verbs
برية,wild,Adjectives
آلة,instrument,"General Nouns"
أبقى,kept,Verbs
زجاج,glass,Daily Life
عشب,grass,Daily Life
بقرة,cow,Daily Life
وظيفة,job,"General Nouns"
حافة,edge,"General Nouns"
علامة,sign,"General Nouns"
زيارة,visit,Verbs
ماضي,past,"General Nouns"
لينة,soft,Adjectives
متعة,fun,Adjectives
مشرق,bright,Adjectives
غاز,gas,Daily Life
طقس,weather,Daily Life
شهر,month,Daily Life
مليون,million,Numbers
دب,bear,Daily Life
انتهى,finish,Verbs
سعيد,happy,Adjectives
أمل,hope,Verbs
إله,god,Quranic
الله,Allah,Quranic
كلا,"never/certainly not",General Nouns
لن,"will not, never",General Nouns
لم,did not,General Nouns
ما,not,General Nouns
ليس,not,General Nouns
غير,other than,General Nouns
دون,besides,General Nouns
نعم,yes,General Nouns
زهرة,flower,Daily Life
ملابس,clothe,Daily Life
غريب,strange,Adjectives
ذهب,gone,Verbs
تجارة,trade,"General Nouns"
ميلودي,melody,"General Nouns"
رحلة,trip,Daily Life
مكتب,office,Daily Life
تلقى,receive,Verbs
صف,row,"General Nouns"
فم,mouth,Daily Life
دقيق,exact,Adjectives
رمز,symbol,"General Nouns"
مات,die,Verbs
أقل,least,Adjectives
متاعب,trouble,"General Nouns"
صيحة,shout,Verbs
إلا,except,"General Nouns"
كتب,wrote,Verbs
بذور,seed,Daily Life
نغمة,tone,"General Nouns"
انضمام,join,Verbs
اقترح,suggest,Verbs
نظيف,clean,Adjectives
كسر,break,Verbs
سيدة,lady,"General Nouns"
ساحة,yard,Daily Life
ارتفاع,rise,Verbs
سيئ,bad,Adjectives
ضربة,blow,Verbs
زيت,oil,Daily Life
دم,blood,Daily Life
لمس,touch,Verbs
نما,grew,Verbs
سنت,cent,"General Nouns"
خلط,mix,Verbs
فريق,team,"General Nouns"
سلك,wire,"General Nouns"
تكلفة,cost,"General Nouns"
خسر,lost,Verbs
بني,brown,Adjectives
ارتداء,wear,Verbs
حديقة,garden,Daily Life
متساو,equal,Adjectives
أرسل,sent,Verbs
اختار,choose,Verbs
سقط,fell,Verbs
نوبة,fit,Verbs
تدفق,flow,Verbs
عادل,fair,Adjectives
بنك,bank,Daily Life
جمع,collect,Verbs
حفظ,save,Verbs
سيطرة,control,Verbs
عشري,decimal,Numbers
لطيف,gentle,Adjectives
امرأة,woman,"General Nouns"
كابتن,captain,"General Nouns"
ممارسة,practice,Verbs
منفصل,separate,Adjectives
صعب,difficult,Adjectives
طبيب,doctor,Daily Life
من فضلك,please,"General Nouns"
حماية,protect,Verbs
ظهر,noon,Daily Life
الذي,whose,"General Nouns"
تحديد الموقع,locate,Verbs
حلقة,ring,Daily Life
شخصية,character,"General Nouns"
حشرة,insect,Daily Life
قبض,caught,Verbs
فترة,period,"General Nouns"
تشير,indicate,Verbs
راديو,radio,Daily Life
تكلم,spoke,Verbs
ذرة,atom,"General Nouns"
بشري,human,"General Nouns"
تاريخ,history,"General Nouns"
تأثير,effect,"General Nouns"
كهربائي,electric,Adjectives
توقع,expect,Verbs
محصول,crop,Daily Life
حديث,modern,Adjectives
عنصر,element,"General Nouns"
ضرب,hit,Verbs
طالب,student,"General Nouns"
ركن,corner,"General Nouns"
حزب,party,"General Nouns"
إمدادات,supply,"General Nouns"
عظمة,bone,Daily Life
سكة حديدية,rail,"General Nouns"
تخيل,imagine,Verbs
توفير,provide,Verbs
وافق,agree,Verbs
وهكذا,thus,"General Nouns"
رقيق,gentle,Adjectives
قبطان,captain,"General Nouns"
يرجى,please,"General Nouns"
تحديد,locate,Verbs
طابع,character,"General Nouns"
اشتعلت,caught,Verbs
طرف,party,"General Nouns"
توريد,supply,"General Nouns"
عظم,bone,Daily Life
سكة حديد,rail,"General Nouns"
أوافق,agree,Verbs
ناعم,soft,Adjectives
تحمل,bear,Daily Life
لحن,melody,"General Nouns"
تلقي,receive,Verbs
موت,die,Verbs
مشكلة,trouble,"General Nouns"
صراخ,shout,Verbs
بذرة,seed,Daily Life
اقتراح,suggest,Verbs
سنت,cent,"General Nouns"
مزج,mix,Verbs
صالح,fit,Verbs
جميل,pretty,Adjectives
خائف,afraid,Adjectives
ضخم,huge,Adjectives
مماثل,similar,Adjectives
تصميم,design,"General Nouns"
سكر,sugar,Daily Life
موت,death,Quranic
مهارة,skill,"General Nouns"
نساء,women,"General Nouns"
موسم,season,Daily Life
حل,solution,"General Nouns"
مغناطيس,magnet,Daily Life
فضة,silver,Daily Life
شكرا,thank,"General Nouns"
فرع,branch,Daily Life
مباراة,match,Daily Life
لاحقة,suffix,"General Nouns"
خاصة,especially,"General Nouns"
تين,fig,Daily Life
شقيقة,sister,Daily Life
الصلب,steel,"General Nouns"
بحث,discuss,Verbs
إلى الأمام,forward,"General Nouns"
توجيه,guide,Verbs
التجربة,experience,Verbs
النتيجة,score,Verbs
تفاحة,apple,Daily Life
اشترى,bought,Verbs
أدى,led,Verbs
رمية,pitch,Verbs
معطف,coat,Daily Life
كتلة,mass,"General Nouns"
بطاقة,card,"General Nouns"
فرقة,band,"General Nouns"
حبل,rope,Daily Life
انزلاق,slip,Verbs
الفوز,win,Verbs
حلم,dream,Verbs
مساء,evening,Daily Life
حالة,condition,"General Nouns"
علف,feed,Verbs
أداة,tool,Daily Life
الكل,total,Numbers
الأساسية,basic,Adjectives
رائحة,smell,Daily Life
الوادي,valley,Daily Life
مقعد,seat,Daily Life
استمر,continue,Verbs
كتلة,block,"General Nouns"
رسم بياني,chart,"General Nouns"
قبعة,hat,Daily Life
بيع,sell,Verbs
نجاح,success,"General Nouns"
شركة,company,"General Nouns"
طرح,subtract,Verbs
حدث,event,"General Nouns"
خاصة,particular,Adjectives
صفقة,deal,Verbs
السباحة,swim,Verbs
مصطلح,term,"General Nouns"
المقابلة,opposite,Adjectives
زوجة,wife,Daily Life
حذاء,shoe,Daily Life
كتف,shoulder,Daily Life
نشر,spread,Verbs
ترتيب,arrange,Verbs
مخيم,camp,Daily Life
اختراع,invent,Verbs
القطن,cotton,Daily Life
ولد,born,Verbs
تحديد,determine,Verbs
الكوارت,quart,"General Nouns"
تسعة,nine,Numbers
شاحنة,truck,Daily Life
ضجيج,noise,"General Nouns"
مستوى,level,"General Nouns"
فرصة,chance,"General Nouns"
جمع,gather,Verbs
متجر,shop,Daily Life
تمتد,stretch,Verbs
رمي,throw,Verbs
تلميع,shine,Verbs
خاصية,property,"General Nouns"
عمود,column,"General Nouns"
جزيء,molecule,"General Nouns"
اختيار,select,Verbs
خطأ,wrong,Adjectives
رمادي,gray,Adjectives
تكرار,repeat,Verbs
تطلب,require,Verbs
واسع,broad,Adjectives
تحضير,prepare,Verbs
ملح,salt,Daily Life
الأنف,nose,Daily Life
تعدد,plural,"General Nouns"
غضب,anger,"General Nouns"
ادعاء,claim,Verbs
قارة,continent,Daily Life
الأكسجين,oxygen,"General Nouns"
دعم,support,Verbs
خطاب,speech,"General Nouns"
الطبيعة,nature,"General Nouns"
مجموعة,range,"General Nouns"
البخار,steam,Daily Life
الحركة,motion,"General Nouns"
مسار,path,"General Nouns"
السائل,liquid,Daily Life
تسجيل,log,Verbs
مقصود,meant,Verbs
حاصل,quotient,Numbers
أسنان,teeth,Daily Life
قذيفة,shell,"General Nouns"
الرقبة,neck,Daily Life
سبعة,seven,Numbers
ثمانية,eight,Numbers
"اثنا عشر",eleven,Numbers
"اثنا عشر",twelve,Numbers
يساوي,equals,Numbers
الرحمن,the Most Merciful,Quranic
الرحيم,the Most Compassionate,Quranic
الملك,the King,Quranic
القدوس,the Holy,Quranic
السلام,the Peace,Quranic
المؤمن,the Believer,Quranic
المهيمن,the Guardian,Quranic
العزيز,the Almighty,Quranic
الجبار,the Compeller,Quranic
المتكبر,the Supreme,Quranic
الخالق,the Creator,Quranic
البارئ,the Evolver,Quranic
المصور,the Fashioner,Quranic
الغفار,the Forgiver,Quranic
القهار,the Dominant,Quranic
الوهاب,the Bestower,Quranic
الرزاق,the Provider,Quranic
الفتاح,the Opener,Quranic
العليم,the All-Knowing,Quranic
القابض,the Constrictor,Quranic
الباسط,the Expander,Quranic
الخافض,the Abaser,Quranic
الرافع,the Exalter,Quranic
المعز,the Honorer,Quranic
المذل,the Humiliator,Quranic
السميع,the All-Hearing,Quranic
البصير,the All-Seeing,Quranic
الحكم,the Judge,Quranic
العدل,the Just,Quranic
اللطيف,the Subtle,Quranic
الخبير,the Aware,Quranic
الحليم,the Forbearing,Quranic
العظيم,the Magnificent,Quranic
الغفور,the Forgiving,Quranic
الشكور,the Appreciative,Quranic
العلي,the Most High,Quranic
الكبير,the Most Great,Quranic
الحفيظ,the Preserver,Quranic
المقيت,the Sustainer,Quranic
الحسيب,the Reckoner,Quranic
الجليل,the Majestic,Quranic
الكريم,the Generous,Quranic
الرقيب,the Watchful,Quranic
المجيب,the Responsive,Quranic
الواسع,the All-Encompassing,Quranic
الحكيم,the Wise,Quranic
الودود,the Loving,Quranic
المجيد,the Glorious,Quranic
الباعث,the Resurrector,Quranic
الشهيد,the Witness,Quranic
الحق,the Truth,Quranic
الوكيل,the Trustee,Quranic
القوي,the Strong,Quranic
المتين,the Firm,Quranic
الولي,the Protector,Quranic
الحميد,the Praiseworthy,Quranic
المحصي,the Reckoner,Quranic
المبدئ,the Originator,Quranic
المعيد,the Restorer,Quranic
المحيي,the Giver of Life,Quranic
المميت,the Bringer of Death,Quranic
الحي,the Ever-Living,Quranic
القيوم,the Sustainer,Quranic
الواجد,the Finder,Quranic
الماجد,the Noble,Quranic
الواحد,the One,Quranic
الأحد,the Unique,Quranic
الصمد,the Eternal,Quranic
القادر,the Able,Quranic
المقتدر,the Powerful,Quranic
المقدم,the Expediter,Quranic
المؤخر,the Delayer,Quranic
الأول,the First,Quranic
الآخر,the Last,Quranic
الظاهر,the Manifest,Quranic
الباطن,the Hidden,Quranic
الوالي,the Governor,Quranic
المتعالي,the Most Exalted,Quranic
البر,the Source of Goodness,Quranic
التواب,the Acceptor of Repentance,Quranic
المنتقم,the Avenger,Quranic
العفو,the Pardoner,Quranic
الرؤوف,the Kind,Quranic
مالك الملك,Owner of Sovereignty,Quranic
ذو الجلال والإكرام,Possessor of Glory and Honor,Quranic
المقسط,the Equitable,Quranic
الجامع,the Gatherer,Quranic
الغني,the Self-Sufficient,Quranic
المغني,the Enricher,Quranic
المانع,the Preventer,Quranic
الضار,the Afflicter,Quranic
النافع,the Benefactor,Quranic
النور,the Light,Quranic
الهادي,the Guide,Quranic
البديع,the Incomparable,Quranic
الباقي,the Everlasting,Quranic
الوارث,the Inheritor,Quranic
الرشيد,the Guide to the Right Path,Quranic
الصبور,the Patient,Quranic
رب,Lord,Quranic



